Denumire,Afectiuni,Ingrediente,Compensat
Levotiroxină,Durere,Metoprolol,Nu
Diazepam,Diabet,Enalapril,Da
Insulină Aspart,Inflamație,Cetirizine,Nu
Amoxicilină,Durere,Amoxicillin,Da
Duloxetină,Anxietate,Loratadine,Da
Acetaminofen,Diabet,Amlodipine,Nu
Duloxetină,Reflux gastric,Cetirizine,Nu
Paracetamol,Epilepsie,Furosemide,Nu
Rosuvastatin,Hipertensiune,Enalapril,Da
Rosuvastatin,Inflamație,Amoxicillin,Nu
Atorvastatin,Colesterol,Losartan,Nu
Amoxicilină,Tiroidă,Duloxetine,Da
Sertralină,Inflamație,Fluoxetine,Nu
Dexametazonă,Bronșită,Losartan,Da
Enalapril,Durere,Rosuvastatin,Da
Cetirizină,Inflamație,Levothyroxine,Da
Sertralină,Hipertensiune,Duloxetine,Nu
Omeprazol,Colesterol,Losartan,Da
Fluoxetină,Tiroidă,Rosuvastatin,Da
Ketoprofen,Alergii,Furosemide,Da
Omeprazol,Reflux gastric,Cephalexin,Nu
Acetaminofen,Diabet,Rosuvastatin,Nu
Metformin,Diabet,Ibuprofen,Nu
Desloratadină,Hipertensiune,Amoxicillin,Da
Ranitidină,Bronșită,Amlodipine,Nu
Simvastatin,Alergii,Diazepam,Nu
Spiriva,Infecții,Insulin glargine,Da
Diazepam,Tiroidă,Fluoxetine,Nu
Claritromicină,Astm,Cetirizine,Nu
Metoprolol,Diabet,Enalapril,Nu
Furosemid,Epilepsie,Ibuprofen,Da
Salbutamol,Alergii,Furosemide,Nu
Ketoprofen,Inflamație,Cephalexin,Nu
Ketoprofen,Reflux gastric,Clonazepam,Nu
Acetaminofen,Insomnie,Paracetamol,Da
Insulină Aspart,Epilepsie,Insulin glargine,Nu
Levotiroxină,Hipertensiune,Simvastatin,Da
Spiriva,Durere,Metoprolol,Nu
Tramadol,Epilepsie,Furosemide,Da
Loratadină,Insomnie,Pantoprazole,Da
Salbutamol,Colesterol,Sertraline,Da
Insulină Aspart,Epilepsie,Clonazepam,Da
Ketoprofen,Colesterol,Diazepam,Da
Levotiroxină,Bronșită,Losartan,Nu
Diazepam,Durere,Levothyroxine,Da
Furosemid,Tiroidă,Diazepam,Da
Insulină Aspart,Epilepsie,Enalapril,Da
Naproxen,Anxietate,Furosemide,Nu
Zolpidem,Insomnie,Loratadine,Nu
Simvastatin,Bronșită,Fluoxetine,Da
Loratadină,Astm,Rosuvastatin,Nu
Formoterol,Bronșită,Clonazepam,Nu
Levotiroxină,Diabet,Levothyroxine,Da
Rosuvastatin,Durere,Cetirizine,Da
Claritromicină,Diabet,Paracetamol,Da
Metformin,Diabet,Amoxicillin,Da
Rosuvastatin,Inflamație,Clonazepam,Da
Fluoxetină,Alergii,Diazepam,Da
Insulină Aspart,Infecții,Metoprolol,Nu
Diazepam,Epilepsie,Diazepam,Nu
Cefalexin,Inflamație,Metformin,Nu
Amlodipină,Astm,Simvastatin,Nu
Metformin,Alergii,Pantoprazole,Da
Metformin,Astm,Metoprolol,Nu
Atorvastatin,Diabet,Atorvastatin,Da
Insulină Aspart,Reflux gastric,Enalapril,Nu
Losartan,Hipertensiune,Duloxetine,Da
Enalapril,Reflux gastric,Fluoxetine,Da
Metformin,Alergii,Fluoxetine,Da
Furosemid,Bronșită,Sertraline,Da
Omeprazol,Astm,Diazepam,Nu
Simvastatin,Insomnie,Cephalexin,Da
Omeprazol,Astm,Paracetamol,Nu
Clonazepam,Bronșită,Duloxetine,Nu
Tiotropiu,Tiroidă,Metoprolol,Nu
Salbutamol,Diabet,Salbutamol,Da
Metformin,Depresie,Metoprolol,Da
Pantoprazol,Durere,Ibuprofen,Nu
Tramadol,Bronșită,Clonazepam,Da
Metformin,Anxietate,Amoxicillin,Da
Enalapril,Depresie,Amoxicillin,Da
Desloratadină,Inflamație,Cetirizine,Da
Claritromicină,Depresie,Ibuprofen,Da
Escitalopram,Alergii,Cetirizine,Nu
Clonazepam,Diabet,Rosuvastatin,Nu
Diazepam,Hipertensiune,Cephalexin,Da
Loratadină,Reflux gastric,Omeprazole,Da
Paracetamol,Reflux gastric,Loratadine,Da
Enalapril,Anxietate,Atorvastatin,Nu
Insulină Glargin,Bronșită,Losartan,Da
Diazepam,Colesterol,Salbutamol,Da
Formoterol,Insomnie,Fluoxetine,Nu
Dexametazonă,Epilepsie,Pantoprazole,Da
Acetaminofen,Hipertensiune,Rosuvastatin,Da
Insulină Glargin,Hipertensiune,Metformin,Da
Acetaminofen,Infecții,Insulin glargine,Nu
Ketoprofen,Diabet,Amlodipine,Nu
Simvastatin,Alergii,Pantoprazole,Nu
Tramadol,Reflux gastric,Insulin glargine,Da
Furosemid,Alergii,Simvastatin,Nu
Amoxicilină,Durere,Omeprazole,Da
Clonazepam,Infecții,Metoprolol,Nu
Acetaminofen,Tiroidă,Simvastatin,Da
Levotiroxină,Inflamație,Amlodipine,Da
Insulină Aspart,Durere,Losartan,Da
Tiotropiu,Infecții,Ibuprofen,Nu
Metoprolol,Bronșită,Ibuprofen,Nu
Simvastatin,Alergii,Levothyroxine,Da
Amlodipină,Epilepsie,Fluoxetine,Nu
Dexametazonă,Tiroidă,Enalapril,Da
Omeprazol,Epilepsie,Furosemide,Nu
Ibuprofen,Infecții,Metoprolol,Nu
Escitalopram,Epilepsie,Rosuvastatin,Da
Fluoxetină,Infecții,Amlodipine,Da
Sertralină,Insomnie,Ibuprofen,Nu
Duloxetină,Diabet,Duloxetine,Nu
Loratadină,Insomnie,Levothyroxine,Da
Ibuprofen,Alergii,Atorvastatin,Nu
Rosuvastatin,Hipertensiune,Amoxicillin,Nu
Amlodipină,Alergii,Clonazepam,Nu
